         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      412    0.000    0.000    0.006    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
        2    0.000    0.000    0.006    0.003 scale.py:1(<module>)
      672    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      438    0.000    0.000    0.006    0.000 colors.py:275(to_rgba)
     4144    0.003    0.000    0.006    0.000 artist.py:1557(aliased_name)
        1    0.000    0.000    0.005    0.005 lbm3d.py:122(simulate)
        1    0.002    0.002    0.005    0.005 lbm3d.py:98(simulate_step)
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
        1    0.005    0.005    0.005    0.005 tpu.py:1(<module>)
     1094    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 mesh.py:1(<module>)
     1086    0.002    0.000    0.005    0.000 typing.py:173(_type_check)
      169    0.000    0.000    0.005    0.000 colors.py:322(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.005    0.003 partial_eval.py:1(<module>)
        2    0.000    0.000    0.005    0.003 helpers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 debug.py:1(<module>)
      320    0.001    0.000    0.005    0.000 api_util.py:501(resolve_argnums)
      121    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 reductions.py:1(<module>)
     7487    0.002    0.000    0.005    0.000 enum.py:691(__call__)
        1    0.000    0.000    0.005    0.005 functions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
    42939    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    61713    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
        2    0.000    0.000    0.004    0.002 xla_bridge.py:1(<module>)
        2    0.000    0.000    0.004    0.002 common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
     9041    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
       48    0.000    0.000    0.004    0.000 __init__.py:1355(_add_data_doc)
        1    0.002    0.002    0.004    0.004 _stablehlo_ops_gen.py:1(<module>)
       58    0.000    0.000    0.004    0.000 typing.py:1446(__or__)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        1    0.000    0.000    0.004    0.004 callback.py:1(<module>)
      524    0.002    0.000    0.004    0.000 enum.py:250(__set_name__)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 source_info_util.py:1(<module>)
     1149    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
       18    0.000    0.000    0.004    0.000 rcsetup.py:827(validate_cycler)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
       68    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1671(_fill_cache)
     1384    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.004    0.001 patches.py:2283(__init_subclass__)
        1    0.000    0.000    0.004    0.004 contract.py:1(<module>)
      602    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
        6    0.000    0.000    0.004    0.001 patches.py:2325(pprint_styles)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
